timestamp,metric,value,instance_type
2025-04-06 19:47:56,pending_pods,0,N/A
2025-04-06 19:47:56,running_pods,0,N/A
2025-04-06 19:48:05,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:48:06,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:49:11,current_node_count,2,N/A
2025-04-06 19:49:11,pending_pods,0,N/A
2025-04-06 19:49:11,running_pods,0,N/A
2025-04-06 19:49:20,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:49:21,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:50:27,current_node_count,2,N/A
2025-04-06 19:50:27,pending_pods,0,N/A
2025-04-06 19:50:27,running_pods,0,N/A
2025-04-06 19:50:36,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:50:37,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:51:41,current_node_count,2,N/A
2025-04-06 19:51:41,pending_pods,0,N/A
2025-04-06 19:51:42,running_pods,0,N/A
2025-04-06 19:51:51,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:51:52,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:52:57,current_node_count,2,N/A
2025-04-06 19:52:57,pending_pods,0,N/A
2025-04-06 19:52:57,running_pods,0,N/A
2025-04-06 19:53:06,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:53:07,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:54:12,current_node_count,2,N/A
2025-04-06 19:54:12,pending_pods,0,N/A
2025-04-06 19:54:12,running_pods,0,N/A
2025-04-06 19:54:21,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:54:22,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:55:27,current_node_count,2,N/A
2025-04-06 19:55:27,pending_pods,0,N/A
2025-04-06 19:55:27,running_pods,0,N/A
2025-04-06 19:55:37,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:55:38,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:56:43,current_node_count,2,N/A
2025-04-06 19:56:43,pending_pods,0,N/A
2025-04-06 19:56:43,running_pods,0,N/A
2025-04-06 19:56:52,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:56:53,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:57:58,current_node_count,2,N/A
2025-04-06 19:57:58,pending_pods,0,N/A
2025-04-06 19:57:58,running_pods,0,N/A
2025-04-06 19:58:07,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:58:08,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:59:13,current_node_count,2,N/A
2025-04-06 19:59:13,pending_pods,0,N/A
2025-04-06 19:59:13,running_pods,0,N/A
2025-04-06 19:59:24,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:59:25,karpenter_total_cpu_provisioned,,N/A
2025-04-06 20:00:26,scale_down_duration_seconds,1153,N/A
2025-04-06 20:00:26,final_node_count,2,N/A
2025-04-06 20:00:26,total_test_duration_seconds,2504,N/A
